client_id,card_number,card_type,expiry_date
1,4111111111111111,Visa,2025-06-01
2,4222222222222222,MasterCard,2026-07-01
3,4333333333333333,Visa,2024-08-01
4,4444444444444444,MasterCard,2025-09-01
5,4555555555555555,Visa,2026-10-01
6,4666666666666666,MasterCard,2027-11-01
7,4777777777777777,Visa,2025-12-01
8,4888888888888888,MasterCard,2026-01-01
9,4999999999999999,Visa,2027-02-01
10,4000000000000000,MasterCard,2024-03-01
11,4111111111111110,Visa,2025-04-01
12,4222222222222221,MasterCard,2026-05-01
13,4333333333333332,Visa,2024-06-01
14,4444444444444443,MasterCard,2025-07-01
15,4555555555555554,Visa,2026-08-01
16,4666666666666665,MasterCard,2027-09-01
17,4777777777777776,Visa,2025-10-01
18,4888888888888887,MasterCard,2026-11-01
19,4999999999999998,Visa,2027-12-01
20,4000000000000009,MasterCard,2024-01-01
